cod_ibge;ano;obitos menores de 1 Ano;obitos menores de 7 dias;obitos de 28 dias a 364 dias;obitos de 7 a 27 dias;nascidos vivos (por local de residência)
3500000;2022;4;4;0;0;188
3500105;2022;4;2;1;1;388
3500204;2022;0;0;0;0;58
3500303;2022;3;2;0;1;390
3500402;2022;1;0;0;1;69
3500501;2022;1;1;0;0;195
3500550;2022;0;0;0;0;65
3500600;2022;;;;;24
3500709;2022;3;2;1;0;473
3500758;2022;1;1;0;0;71
3500808;2022;;;;;38
3500907;2022;1;1;0;0;37
3501004;2022;1;1;0;0;178
3501103;2022;2;2;0;0;28
3501152;2022;2;1;1;0;182
3501202;2022;;;;;34
3501301;2022;4;3;0;1;334
3501400;2022;;;;;35
3501509;2022;0;0;0;0;27
3501608;2022;23;11;7;5;2.450
3501707;2022;5;3;2;0;355
3501806;2022;;;;;41
3501905;2022;8;4;3;1;709
3502002;2022;1;1;0;0;47
3502101;2022;5;1;3;1;589
3502200;2022;3;2;1;0;330
3502309;2022;2;1;1;0;66
3502408;2022;1;1;0;0;50
3502507;2022;4;1;1;2;340
3502606;2022;0;0;0;0;44
3502705;2022;0;0;0;0;282
3502754;2022;5;4;0;1;358
3502804;2022;25;11;9;5;1.998
3502903;2022;0;0;0;0;383
3503000;2022;2;2;0;0;64
3503109;2022;2;1;0;1;83
3503158;2022;;;;;26
3503208;2022;16;10;4;2;2.476
3503307;2022;12;8;2;2;1.419
3503356;2022;;;;;16
3503406;2022;1;0;0;1;95
3503505;2022;0;0;0;0;38
3503604;2022;1;0;1;0;121
3503703;2022;0;0;0;0;81
3503802;2022;2;2;0;0;643
3503901;2022;8;6;0;2;1.287
3503950;2022;;;;;22
3504008;2022;11;8;1;2;947
3504107;2022;15;7;2;6;1.997
3504206;2022;2;1;1;0;144
3504305;2022;3;2;1;0;74
3504404;2022;1;0;1;0;116
3504503;2022;18;9;4;5;1.063
3504602;2022;3;3;0;0;334
3504701;2022;;;;;16
3504800;2022;0;0;0;0;100
3504909;2022;1;1;0;0;78
3505005;2022;0;0;0;0;48
3505104;2022;2;1;1;0;78
3505203;2022;4;3;1;0;341
3505302;2022;4;2;0;2;310
3505351;2022;1;0;1;0;91
3505401;2022;1;0;1;0;57
3505500;2022;17;9;3;5;1.388
3505609;2022;2;1;1;0;383
3505708;2022;34;20;6;8;5.236
3505807;2022;2;2;0;0;268
3505906;2022;10;6;0;4;613
3506003;2022;37;12;10;15;4.307
3506102;2022;8;4;3;1;783
3506201;2022;;;;;34
3506300;2022;;;;;116
3506359;2022;16;8;6;2;959
3506409;2022;3;1;1;1;67
3506508;2022;16;12;4;0;1.186
3506607;2022;1;0;1;0;361
3506706;2022;2;1;1;0;177
3506805;2022;3;3;0;0;120
3506904;2022;1;1;0;0;122
3507001;2022;10;6;3;1;797
3507100;2022;3;0;3;0;318
3507159;2022;;;;;70
3507209;2022;;;;;5
3507308;2022;0;0;0;0;78
3507407;2022;3;2;1;0;142
3507456;2022;0;0;0;0;26
3507506;2022;17;13;2;2;1.573
3507605;2022;26;15;6;5;2.225
3507704;2022;0;0;0;0;63
3507753;2022;2;2;0;0;25
3507803;2022;2;0;2;0;270
3507902;2022;2;0;1;1;264
3508009;2022;3;1;1;1;301
3508108;2022;0;0;0;0;164
3508207;2022;1;0;1;0;54
3508306;2022;0;0;0;0;41
3508405;2022;13;6;3;4;732
3508504;2022;8;4;3;1;1.096
3508603;2022;9;7;1;1;355
3508702;2022;1;0;1;0;180
3508801;2022;5;3;0;2;184
3508900;2022;1;1;0;0;37
3509007;2022;21;14;4;3;1.152
3509106;2022;;;;;31
3509205;2022;18;10;4;4;1.363
3509254;2022;4;3;1;0;433
3509304;2022;;;;;91
3509403;2022;6;4;2;0;327
3509452;2022;1;1;0;0;79
3509502;2022;131;62;47;22;12.636
3509601;2022;4;2;2;0;858
3509700;2022;7;4;2;1;691
3509809;2022;1;0;1;0;49
3509908;2022;4;2;2;0;166
3509957;2022;1;0;0;1;64
3510005;2022;2;1;1;0;311
3510104;2022;;;;;34
3510153;2022;1;1;0;0;100
3510203;2022;5;2;0;3;543
3510302;2022;5;4;0;1;316
3510401;2022;12;9;2;1;669
3510500;2022;18;9;5;4;1.702
3510609;2022;88;42;25;21;5.298
3510708;2022;0;0;0;0;107
3510807;2022;3;2;1;0;302
3510906;2022;;;;;16
3511003;2022;1;1;0;0;201
3511102;2022;10;4;1;5;1.192
3511201;2022;2;0;2;0;58
3511300;2022;1;1;0;0;139
3511409;2022;6;2;3;1;219
3511508;2022;;;;;471
3511607;2022;5;2;3;0;233
3511706;2022;2;1;1;0;195
3511904;2022;0;0;0;0;91
3512001;2022;1;1;0;0;212
3512100;2022;2;2;0;0;80
3512209;2022;8;4;4;0;431
3512308;2022;2;1;1;0;175
3512407;2022;7;3;3;1;296
3512506;2022;;;;;44
3512605;2022;2;2;0;0;42
3512704;2022;;;;;39
3512803;2022;8;5;2;1;619
3512902;2022;2;1;0;1;95
3513009;2022;55;30;16;9;3.643
3513108;2022;7;3;4;0;354
3513207;2022;1;1;0;0;104
3513306;2022;;;;;12
3513405;2022;9;5;1;3;849
3513504;2022;19;9;7;3;1.340
3513603;2022;2;0;2;0;245
3513702;2022;4;1;2;1;282
3513801;2022;56;26;20;10;4.247
3513850;2022;;;;;13
3513900;2022;0;0;0;0;124
3514007;2022;0;0;0;0;107
3514106;2022;1;1;0;0;305
3514205;2022;;;;;21
3514304;2022;0;0;0;0;86
3514403;2022;5;2;2;1;496
3514502;2022;1;1;0;0;132
3514601;2022;;;;;112
3514700;2022;;;;;84
3514809;2022;3;0;2;1;149
3514908;2022;7;5;1;1;205
3514924;2022;;;;;18
3514957;2022;;;;;14
3515004;2022;33;15;13;5;3.385
3515103;2022;7;3;4;0;791
3515129;2022;;;;;25
3515152;2022;4;1;2;1;271
3515186;2022;5;1;2;2;393
3515194;2022;0;0;0;0;70
3515202;2022;1;1;0;0;83
3515301;2022;1;1;0;0;28
3515350;2022;1;1;0;0;96
3515400;2022;2;1;1;0;176
3515509;2022;3;2;0;1;761
3515608;2022;;;;;55
3515657;2022;;;;;20
3515707;2022;31;18;4;9;2.374
3515806;2022;;;;;17
3515905;2022;;;;;19
3516002;2022;1;1;0;0;87
3516101;2022;;;;;29
3516200;2022;28;19;7;2;4.227
3516309;2022;39;22;8;9;2.566
3516408;2022;21;8;8;5;1.957
3516507;2022;;;;;22
3516606;2022;1;1;0;0;54
3516705;2022;7;5;1;1;445
3516804;2022;;;;;27
3516853;2022;0;0;0;0;48
3516903;2022;1;1;0;0;95
3517000;2022;0;0;0;0;82
3517109;2022;2;1;0;1;38
3517208;2022;1;0;1;0;147
3517307;2022;1;1;0;0;53
3517406;2022;3;2;1;0;435
3517505;2022;3;2;0;1;231
3517604;2022;2;0;2;0;197
3517703;2022;0;0;0;0;209
3517802;2022;0;0;0;0;48
3517901;2022;0;0;0;0;115
3518008;2022;;;;;20
3518107;2022;2;0;0;2;91
3518206;2022;1;0;1;0;310
3518305;2022;5;4;0;1;347
3518404;2022;12;6;4;2;1.298
3518503;2022;1;0;0;1;133
3518602;2022;5;5;0;0;440
3518701;2022;64;26;25;13;3.659
3518800;2022;238;107;85;46;17.569
3518859;2022;;;;;79
3518909;2022;;;;;42
3519006;2022;1;0;1;0;112
3519055;2022;3;1;1;1;216
3519071;2022;24;9;6;9;2.709
3519105;2022;1;0;1;0;132
3519204;2022;2;2;0;0;69
3519253;2022;0;0;0;0;74
3519303;2022;4;0;3;1;430
3519402;2022;1;0;1;0;134
3519501;2022;4;1;2;1;58
3519600;2022;9;5;4;0;717
3519709;2022;16;9;3;4;1.092
3519808;2022;;;;;85
3519907;2022;3;1;1;1;82
3520004;2022;2;2;0;0;246
3520103;2022;1;1;0;0;285
3520202;2022;3;0;3;0;143
3520301;2022;2;1;0;1;304
3520400;2022;3;1;2;0;482
3520426;2022;3;2;0;1;142
3520442;2022;4;1;2;1;215
3520509;2022;32;14;9;9;3.179
3520608;2022;0;0;0;0;34
3520707;2022;;;;;42
3520806;2022;;;;;37
3520905;2022;7;6;0;1;174
3521002;2022;5;4;0;1;373
3521101;2022;1;0;0;1;68
3521150;2022;1;0;1;0;73
3521200;2022;2;1;0;1;50
3521309;2022;2;1;0;1;149
3521408;2022;4;1;1;2;232
3521507;2022;1;0;1;0;55
3521606;2022;0;0;0;0;53
3521705;2022;3;2;1;0;200
3521804;2022;6;2;4;0;348
3521903;2022;5;3;0;2;204
3522000;2022;;;;;39
3522109;2022;12;4;5;3;1.316
3522158;2022;2;0;2;0;46
3522208;2022;20;9;6;5;2.061
3522307;2022;23;10;11;2;1.947
3522406;2022;19;8;6;5;1.234
3522505;2022;47;24;17;6;3.502
3522604;2022;7;3;2;2;638
3522653;2022;0;0;0;0;72
3522703;2022;4;1;2;1;419
3522802;2022;;;;;170
3522901;2022;3;2;1;0;188
3523008;2022;;;;;45
3523107;2022;74;24;30;20;5.123
3523206;2022;5;2;2;1;567
3523305;2022;1;0;1;0;150
3523404;2022;21;13;4;4;1.349
3523503;2022;7;3;0;4;247
3523602;2022;2;1;1;0;166
3523701;2022;0;0;0;0;57
3523800;2022;;;;;87
3523909;2022;17;6;9;2;2.114
3524006;2022;12;6;5;1;897
3524105;2022;7;6;1;0;461
3524204;2022;2;2;0;0;56
3524303;2022;7;2;4;1;725
3524402;2022;25;15;7;3;2.656
3524501;2022;0;0;0;0;84
3524600;2022;1;0;1;0;179
3524709;2022;8;2;4;2;768
3524808;2022;1;0;0;1;499
3524907;2022;0;0;0;0;57
3525003;2022;20;9;8;3;1.355
3525102;2022;5;2;0;3;509
3525201;2022;7;6;1;0;423
3525300;2022;9;4;3;2;1.444
3525409;2022;;;;;44
3525508;2022;1;0;0;1;126
3525607;2022;0;0;0;0;55
3525706;2022;5;4;1;0;424
3525805;2022;1;1;0;0;54
3525854;2022;;;;;39
3525904;2022;61;33;14;14;5.415
3526001;2022;2;1;0;1;196
3526100;2022;5;2;2;1;260
3526209;2022;7;3;3;1;341
3526308;2022;1;0;1;0;46
3526407;2022;1;0;0;1;334
3526506;2022;0;0;0;0;52
3526605;2022;1;1;0;0;98
3526704;2022;13;7;1;5;1.023
3526803;2022;8;3;3;2;813
3526902;2022;40;15;16;9;3.242
3527009;2022;;;;;65
3527108;2022;9;8;1;0;790
3527207;2022;14;5;4;5;1.018
3527256;2022;0;0;0;0;18
3527306;2022;7;4;2;1;706
3527405;2022;4;3;1;0;172
3527504;2022;0;0;0;0;25
3527603;2022;0;0;0;0;149
3527702;2022;0;0;0;0;70
3527801;2022;0;0;0;0;47
3527900;2022;1;1;0;0;22
3528007;2022;2;1;1;0;180
3528106;2022;0;0;0;0;74
3528205;2022;;;;;36
3528304;2022;;;;;27
3528403;2022;5;2;0;3;596
3528502;2022;11;6;2;3;972
3528601;2022;0;0;0;0;92
3528700;2022;0;0;0;0;31
3528809;2022;1;1;0;0;106
3528858;2022;1;0;0;1;31
3528908;2022;;;;;28
3529005;2022;43;21;10;12;2.807
3529104;2022;;;;;16
3529203;2022;2;1;1;0;256
3529302;2022;7;3;2;2;774
3529401;2022;60;23;20;17;4.577
3529500;2022;3;1;1;1;75
3529609;2022;0;0;0;0;39
3529658;2022;;;;;20
3529708;2022;2;0;1;1;229
3529807;2022;;;;;137
3529906;2022;6;5;0;1;254
3530003;2022;0;0;0;0;26
3530102;2022;3;2;1;0;208
3530201;2022;4;1;3;0;164
3530300;2022;6;3;1;2;724
3530409;2022;;;;;45
3530508;2022;5;2;2;1;713
3530607;2022;68;36;18;14;5.376
3530706;2022;21;16;3;2;1.726
3530805;2022;5;2;2;1;910
3530904;2022;0;0;0;0;55
3531001;2022;;;;;15
3531100;2022;10;5;3;2;695
3531209;2022;1;0;0;1;76
3531308;2022;5;2;0;3;460
3531407;2022;4;3;0;1;217
3531506;2022;2;0;0;2;192
3531605;2022;;;;;49
3531704;2022;2;2;0;0;49
3531803;2022;10;5;3;2;912
3531902;2022;3;3;0;0;321
3532009;2022;1;1;0;0;190
3532058;2022;1;0;1;0;27
3532108;2022;2;0;1;1;32
3532157;2022;;;;;42
3532207;2022;1;1;0;0;76
3532306;2022;1;0;0;1;69
3532405;2022;0;0;0;0;199
3532504;2022;0;0;0;0;87
3532603;2022;0;0;0;0;73
3532702;2022;3;2;0;1;66
3532801;2022;;;;;72
3532827;2022;3;2;1;0;128
3532843;2022;1;1;0;0;19
3532868;2022;;;;;13
3532900;2022;4;2;1;1;101
3533007;2022;1;1;0;0;237
3533106;2022;;;;;21
3533205;2022;;;;;39
3533254;2022;;;;;51
3533304;2022;;;;;23
3533403;2022;7;2;2;3;579
3533502;2022;5;1;2;2;384
3533601;2022;0;0;0;0;77
3533700;2022;1;0;1;0;78
3533809;2022;;;;;16
3533908;2022;6;3;1;2;620
3534005;2022;;;;;51
3534104;2022;1;0;1;0;70
3534203;2022;0;0;0;0;75
3534302;2022;4;3;1;0;408
3534401;2022;112;48;40;24;8.342
3534500;2022;1;0;0;1;16
3534609;2022;2;1;1;0;314
3534708;2022;11;4;7;0;1.159
3534757;2022;1;0;1;0;90
3534807;2022;4;2;1;1;101
3534906;2022;0;0;0;0;93
3535002;2022;;;;;105
3535101;2022;0;0;0;0;109
3535200;2022;;;;;70
3535309;2022;1;0;1;0;182
3535408;2022;4;2;1;1;176
3535507;2022;7;5;1;1;447
3535606;2022;1;0;1;0;213
3535705;2022;2;0;2;0;61
3535804;2022;4;1;3;0;291
3535903;2022;;;;;46
3536000;2022;2;0;2;0;90
3536109;2022;3;0;2;1;97
3536208;2022;3;0;2;1;237
3536257;2022;;;;;29
3536307;2022;7;1;6;0;175
3536406;2022;0;0;0;0;94
3536505;2022;20;11;5;4;1.354
3536570;2022;;;;;24
3536604;2022;1;0;0;1;74
3536703;2022;5;3;1;1;537
3536802;2022;;;;;71
3536901;2022;0;0;0;0;18
3537008;2022;4;3;0;1;198
3537107;2022;3;1;2;0;465
3537156;2022;1;0;1;0;31
3537206;2022;2;0;1;1;59
